FirstAuthor,count
Miyake,23
Reyes,23
Schlesinger,23
Hale,23
Woodruff,23
Ginsberg,23
Pereira,23
Hattori,23
Collier,23
Otsuka,23
Forrest,23
Popova,23
Dry,23
Beard,23
Nishida,23
Bartlett,23
Rothman,23
Harrington,23
Fried,23
Mahler,23
Carson,23
Morishima,23
Polak,23
Schwab,23
Abbott,23
Wallach,23
Fournier,23
Felix,23
Hesse,23
Imamura,23
Butcher,23
Frenkel,23
Sokolov,23
Israel,23
Waters,23
Pfister,23
Otten,23
Poole,23
Shevchenko,23
Traub,23
Koller,23
Grimm,23
Hewitt,23
Greaves,23
Gorman,23
Vasil'eva,23
Daniels,23
Järvinen,23
Zhang,23
Robson,23
Weissmann,23
Hoskins,23
Sung,23
Bentley,23
Miranda,23
Tyrrell,23
Reimer,23
Oshima,23
Biggs,23
Oh,23
Fernandez,23
Sastry,23
Pilz,22
Bianchi,22
Cooney,22
Driscoll,22
Millard,22
Waller,22
Berglund,22
Kanazawa,22
Gershon,22
Prior,22
Seltzer,22
MacKenzie,22
Kraus,22
Chin,22
Kreutzmann,22
Nakao,22
Clancy,22
Schulman,22
Konno,22
Barth,22
Georgiev,22
Azuma,22
McCormick,22
Nolan,22
Howe,22
Yokota,22
Moses,22
Holman,22
Pohl,22
Swartz,22
Sell,22
Webber,22
Curzon,22
Ashley,22
Pavlov,22
McGrath,22
Storb,22
Nahorski,22
Maguire,22
Burnett,22
Light,22
Mohr,22
Mathé,22
Meredith,22
Kovács,22
Pitko,22
Worthington,22
Fong,22
Storey,22
Heinrich,22
Iida,22
Khalil,22
Birnbaum,22
Arnaud,22
Shih,22
König,22
Wahl,22
Eckert,22
Borg,22
Májský,22
Durham,22
Hecht,22
Hodges,22
Lorenz,22
Bowers,22
Snow,22
Petty,22
Houston,22
Isaacson,22
Nair,22
Pollack,22
Glueck,22
Ujiie,22
Sack,22
Wills,22
Lewin,22
Gibbons,22
Parr,22
Hernandez,22
Einhorn,22
Auer,21
Fromm,21
Neal,21
Resnick,21
Harding,21
Knudsen,21
Abramson,21
Ruben,21
Hull,21
Gay,21
O'Rourke,21
Geissl,21
Wyler,21
Tomlinson,21
Lake,21
Uehara,21
Sperling,21
Visser,21
Lynn,21
Madden,21
Rubio,21
Sugiyama,21
Fielding,21
Hong,21
Vesely,21
Harmon,21
Samson,21
Michael,21
Higuchi,21
Naito,21
Gough,21
Swenson,21
Otani,21
Foreman,21
McIntyre,21
Blumenthal,21
Richman,21
McCoy,21
Ballard,21
Markham,21
Godfrey,21
Ting,21
Blanc,21
Nogueira,21
Chuang,21
Hayakawa,21
Farmer,21
Drake,21
Pritchard,21
Ackermann,21
Rubenstein,21
Menzel,21
Jamieson,21
Charachon,21
Bartels,21
Buckley,21
Randall,21
Renoux,21
Tanner,21
Anthony,21
Minami,21
Hauser,21
Wade,21
Kleinrok,21
Henning,21
Waxman,21
Alter,21
Atlas,21
Ota,21
Sugimoto,21
Kimball,21
Chopra,21
Mackay,21
Christman,21
Lindgren,21
Engelhardt,21
Hartley,21
Legros,21
England,21
Amano,21
Eskenasy,21
Woolley,21
Romero,21
Reisner,21
Gérard,21
Westphal,21
Liao,21
Wiener,20
Slack,20
Castro,20
Poulsen,20
Santos,20
Gruber,20
Schweizer,20
Hsia,20
Collen,20
Hagen,20
Saurat,20
Paulson,20
Ullrich,20
Wilcox,20
Kather,20
Gates,20
Janson,20
Castledine,20
Chandler,20
McClure,20
Blackburn,20
Sethi,20
Caplan,20
Vorob'ev,20
Berlin,20
Glick,20
Mercer,20
Alekseev,20
Fulton,20
Hobbs,20
Eichner,20
Somers,20
Atkins,20
Keane,20
Nomoto,20
Hook,20
Mullen,20
Lindner,20
Linder,20
Papa,20
Greenberger,20
Sheridan,20
Hyman,20
Herold,20
Taintor,20
Sinclair,20
Seitz,20
Hastings,20
Binz,20
Satoh,20
Noda,20
Lawler,20
Carvalho,20
Chance,20
Lindberg,20
Egorov,20
Fukui,20
Kurihara,20
Wakabayashi,20
Cunliffe,20
Birch,20
Pang,20
Vinogradov,20
McGeer,20
Tsuda,20
Summers,20
Vestergaard,20
Lockwood,20
Kupfer,20
Weaver,20
Clemens,20
Bingham,20
Kunz,20
Inaba,20
Menkes,20
Erdmann,20
Sarner,20
Holmquist,20
Ochs,20
Orlowski,20
Prakash,20
Claux,20
Domschke,20
Fabre,20
Jay,20
Dodson,20
Kopp,20
McCann,20
Bhattacharya,20
Matsuura,20
Orlov,20
Martins,19
Spitzer,19
Schmitz,19
Goldenberg,19
Ansari,19
Semenov,19
Fodor,19
Christian,19
Skolnick,19
Byrne,19
Matsumura,19
Woolf,19
Fröhlich,19
Usui,19
Saxena,19
Gerna,19
Tseng,19
Muir,19
DeRubertis,19
Friedmann,19
Sewell,19
Alpert,19
Baranov,19
Bonner,19
McMahon,19
Downing,19
Bruns,19
Kurth,19
Onishi,19
Damas,19
Probst,19
Fredholm,19
Stokes,19
Jahnke,19
Kenyon,19
Fujisawa,19
Kirkpatrick,19
Dienstag,19
Mishra,19
Ohta,19
Rosenbaum,19
Cutler,19
